Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2020,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Police and sheriff's patrol officers    ,33-3051,688.4,727.4,39.1,5.7,51,"65,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Political science teachers, postsecondary    ",25-1065,19.8,20.8,1,4.9,1.6,"85,760",Doctoral or professional degree,1,None,4,None,6
Political scientists    ,19-3094,7,7.4,0.4,6.1,0.7,"125,350",Master's degree,2,None,4,None,6
Postal service clerks    ,43-5051,78.1,67.5,-10.5,-13.5,4.3,"50,150",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Postal service mail carriers    ,43-5052,326.6,282.5,-44.1,-13.5,16.1,"51,080",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Postal service mail sorters, processors, and processing machine operators    ",43-5053,98.5,80.9,-17.6,-17.8,5.2,"53,140",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Postmasters and mail superintendents    ,11-9131,13.4,10.5,-2.9,-21.9,0.5,"78,060",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Postsecondary teachers, all other    ",25-1199,245.9,250.7,4.8,2,18.9,"71,950",Doctoral or professional degree,1,None,4,None,6
"Pourers and casters, metal    ",51-4052,8,7.3,-0.7,-8.6,0.6,"40,170",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Power distributors and dispatchers    ,51-8012,11.2,10.3,-0.9,-7.7,0.8,"95,100",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Power plant operators    ,51-8013,35.3,30,-5.3,-15.1,2.1,"84,650",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Precision instrument and equipment repairers, all other    ",49-9069,12.2,12.6,0.4,3.3,1.2,"61,420",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Prepress technicians and workers    ,51-5111,30.2,24,-6.3,-20.7,2.5,"41,410",Postsecondary nondegree award,5,None,4,None,6
"Preschool teachers, except special education    ",25-2011,540.4,553.9,13.5,2.5,50.6,"31,930",Associate's degree,4,None,4,None,6
"Pressers, textile, garment, and related materials    ",51-6021,38.3,31.1,-7.2,-18.9,2.9,"25,580",No formal educational credential,8,None,4,Short-term on-the-job training,5
Print binding and finishing workers    ,51-5113,45.2,38.5,-6.7,-14.8,4.3,"34,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Printing press operators    ,51-5112,181.4,157.2,-24.2,-13.3,14.1,"37,880",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Private detectives and investigators    ,33-9021,36.2,39.2,3,8.3,3.3,"53,320",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Probation officers and correctional treatment specialists    ,21-1092,91.8,95.3,3.4,3.7,7.3,"55,690",Bachelor's degree,3,None,4,Short-term on-the-job training,5
Procurement clerks    ,43-3061,68.5,63.4,-5.1,-7.5,5.3,"44,740",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Producers and directors    ,27-2012,159.5,175.5,16,10,15.2,"76,400",Bachelor's degree,3,Less than 5 years,2,None,6
"Production workers, all other",51-9199,238.6,243.7,5.1,2.1,24.7,"31,420",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Production, planning, and expediting clerks    ",43-5061,378.5,393.3,14.8,3.9,37.5,"49,640",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Project management specialists and business operations specialists, all other",13-1198,"1,361.80","1,441.60",79.8,5.9,128,"77,420",Bachelor's degree,3,None,4,None,6
Proofreaders and copy markers    ,43-9081,10.3,10.1,-0.3,-2.7,1.2,"41,140",Bachelor's degree,3,None,4,None,6
Property appraisers and assessors,13-2020,75.1,77.3,2.2,2.9,5.4,"58,650",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Property, real estate, and community association managers    ",11-9141,367.9,368.7,0.8,0.2,26,"59,660",High school diploma or equivalent,7,Less than 5 years,2,None,6
Prosthodontists    ,29-1024,0.6,0.6,0,2.2,0,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Psychiatric aides,31-1133,59.5,66,6.5,10.9,7.1,"31,570",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Psychiatric technicians    ,29-2053,82.8,93.8,11,13.3,7.6,"35,030",Postsecondary nondegree award,5,Less than 5 years,2,Short-term on-the-job training,5
Psychiatrists,29-1223,27.9,31.3,3.3,11.9,1.1,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
"Psychologists, all other    ",19-3039,19.8,20.2,0.4,2.3,1.2,"105,780",Master's degree,2,None,4,Internship/residency,1
"Psychology teachers, postsecondary    ",25-1066,46.8,51,4.1,8.8,4,"78,180",Doctoral or professional degree,1,None,4,None,6
Public relations and fundraising managers,11-2030,88,96.1,8.1,9.2,7.6,"118,430",Bachelor's degree,3,5 years or more,1,None,6
Public relations specialists    ,27-3031,274.6,294.3,19.7,7.2,27.1,"62,810",Bachelor's degree,3,None,4,None,6
Public safety telecommunicators    ,43-5031,98.3,104.3,6.1,6.2,9.2,"43,290",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pump operators, except wellhead pumpers    ",53-7072,10.5,11.5,1,9.7,1.2,"48,090",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Purchasing managers    ,11-3061,76.9,78.9,2,2.6,5.6,"125,940",Bachelor's degree,3,5 years or more,1,None,6
Radiation therapists    ,29-1124,18.5,19.9,1.3,7.1,1,"86,850",Associate's degree,4,None,4,None,6
"Radio, cellular, and tower equipment installers and repairers    ",49-2021,15,15.5,0.6,3.7,1.6,"57,720",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Radiologic technologists and technicians    ,29-2034,212,226.1,14.1,6.7,12,"61,900",Associate's degree,4,None,4,None,6
Rail car repairers    ,49-3043,24.3,23.5,-0.8,-3.2,2,"57,710",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Rail transportation workers, all other    ",53-4099,2.5,2.4,-0.1,-4.7,0.2,"47,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Rail yard engineers, dinkey operators, and hostlers    ",53-4013,5.2,4.9,-0.4,-6.8,0.3,"51,720",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Rail-track laying and maintenance equipment operators    ,47-4061,13.9,14.4,0.5,3.4,1.4,"56,370",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,9.1,8.6,-0.5,-5.5,0.7,"57,870",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Railroad conductors and yardmasters    ,53-4031,36,35.2,-0.8,-2.1,2.9,"64,030",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Real estate brokers    ,41-9021,100.7,103.3,2.7,2.6,8.7,"60,370",High school diploma or equivalent,7,Less than 5 years,2,None,6
Real estate sales agents    ,41-9022,376.5,385.2,8.7,2.3,32.4,"49,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Receptionists and information clerks    ,43-4171,"1,105.30","1,144.70",39.5,3.6,139.2,"31,110",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Recreation and fitness studies teachers, postsecondary    ",25-1193,19.1,19.6,0.5,2.6,1.5,"66,290",Doctoral or professional degree,1,None,4,None,6
Recreation workers    ,39-9032,417.1,458.7,41.5,10,70.2,"28,440",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Recreational therapists    ,29-1125,19.9,21.6,1.7,8.3,1.2,"47,710",Bachelor's degree,3,None,4,None,6
Recreational vehicle service technicians    ,49-3092,15.9,16.8,0.8,5.1,1.8,"40,520",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Refractory materials repairers, except brickmasons    ",49-9045,0.8,0.7,-0.2,-19.3,0,"54,610",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Refuse and recyclable material collectors    ,53-7081,133.6,145.4,11.7,8.8,18.2,"39,100",No formal educational credential,8,None,4,Short-term on-the-job training,5
Registered nurses    ,29-1141,"3,096.70","3,318.70",221.9,7.2,175.9,"75,330",Bachelor's degree,3,None,4,None,6
Rehabilitation counselors    ,21-1015,120.2,132.5,12.3,10.3,12.3,"37,530",Master's degree,2,None,4,None,6
Reinforcing iron and rebar workers    ,47-2171,18.8,19.8,0.9,5,2.6,"49,390",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Religious workers, all other    ",21-2099,65,67.1,2.1,3.2,8.3,"33,530",Bachelor's degree,3,None,4,None,6
Reservation and transportation ticket agents and travel clerks    ,43-4181,126.3,122.7,-3.7,-2.9,12.5,"39,430",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Residential advisors    ,39-9041,115.2,128.7,13.6,11.8,18.5,"31,190",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Respiratory therapists    ,29-1126,135.8,162,26.3,19.4,9.2,"62,810",Associate's degree,4,None,4,None,6
Retail salespersons    ,41-2031,"4,371.40","4,346.30",-25.1,-0.6,568.1,"27,080",No formal educational credential,8,None,4,Short-term on-the-job training,5
Riggers    ,49-9096,23.5,24.6,1.1,4.6,2.1,"50,850",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Rock splitters, quarry    ",47-5051,5.1,5.2,0.2,3.6,0.6,"37,130",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Rolling machine setters, operators, and tenders, metal and plastic    ",51-4023,32.6,28.9,-3.7,-11.3,2.3,"43,600",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Roof bolters, mining",47-5043,3.3,2.8,-0.5,-16,0.3,"61,190",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Roofers    ,47-2181,161.6,165.4,3.8,2.4,14.7,"43,580",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Rotary drill operators, oil and gas    ",47-5012,20.9,26.6,5.6,26.9,3.4,"53,820",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Roustabouts, oil and gas    ",47-5071,58.5,73.1,14.7,25.1,8.8,"39,420",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Sailors and marine oilers    ,53-5011,31.9,32.2,0.3,0.9,3.6,"44,920",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Sales and related workers, all other    ",41-9099,142.9,145.6,2.7,1.9,16.9,"30,550",High school diploma or equivalent,7,None,4,None,6
Sales engineers    ,41-9031,64.5,68.6,4.1,6.3,6.7,"108,830",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Sales managers    ,11-2022,433.8,449.2,15.4,3.5,35.3,"132,290",Bachelor's degree,3,Less than 5 years,2,None,6
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,"1,070.50","1,134.70",64.2,6,123.8,"58,770",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Sales representatives, wholesale and manufacturing, except technical and scientific products    ",41-4012,"1,399.70","1,412.90",13.2,0.9,127.5,"62,070",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Sales representatives, wholesale and manufacturing, technical and scientific products    ",41-4011,321,334,13,4.1,30.7,"86,650",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Sawing machine setters, operators, and tenders, wood    ",51-7041,54.5,50.8,-3.8,-6.9,5,"31,560",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"School bus monitors and protective service workers, all other",33-9098,145.6,151.8,6.2,4.3,36.7,"31,960",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Secondary school teachers, except special and career/technical education    ",25-2031,"1,050.80","1,090.90",40.2,3.8,71.1,"62,870",Bachelor's degree,3,None,4,None,6
"Secretaries and administrative assistants, except legal, medical, and executive    ",43-6014,"2,250.20","2,022.60",-227.5,-10.1,195.2,"38,850",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Securities, commodities, and financial services sales agents    ",41-3031,464.2,481.6,17.4,3.7,40.5,"64,770",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Security and fire alarm systems installers    ,49-2098,76.3,84.1,7.8,10.3,8.8,"50,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Security guards    ,33-9032,"1,154.10","1,186.80",32.8,2.8,142.7,"31,050",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Self-enrichment teachers    ,25-3021,386.2,425.9,39.8,10.3,46.5,"39,960",High school diploma or equivalent,7,Less than 5 years,2,None,6
Semiconductor processing technicians    ,51-9141,30.8,31,0.2,0.7,3.1,"40,500",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders    ",51-9012,53.1,54.9,1.9,3.5,5.4,"43,100",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Septic tank servicers and sewer pipe cleaners    ,47-4071,30.7,33.8,3.1,10.1,3.5,"41,120",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Service unit operators, oil and gas    ",47-5013,51.7,63.6,11.8,22.9,8.1,"47,380",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Set and exhibit designers    ,27-1027,15.2,15.4,0.2,1.2,1.3,"58,180",Bachelor's degree,3,None,4,None,6
"Sewers, hand    ",51-6051,7.5,6.9,-0.6,-7.9,0.8,"30,000",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Sewing machine operators    ,51-6031,146.5,132.8,-13.7,-9.3,12.7,"28,230",No formal educational credential,8,None,4,Short-term on-the-job training,5
Shampooers    ,39-5093,16.8,18.8,1.9,11.4,2,"24,190",No formal educational credential,8,None,4,Short-term on-the-job training,5
Sheet metal workers    ,47-2211,137.7,139.5,1.8,1.3,12.7,"51,370",High school diploma or equivalent,7,None,4,Apprenticeship,2
Ship engineers    ,53-5031,8.7,8.7,0.1,0.7,1,"75,990",Postsecondary nondegree award,5,Less than 5 years,2,None,6
"Shipping, receiving, and inventory clerks    ",43-5071,710.4,648.8,-61.5,-8.7,54.3,"35,260",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Shoe and leather workers and repairers    ,51-6041,10.8,9.7,-1.1,-10.3,1,"30,550",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Shoe machine operators and tenders    ,51-6042,5.3,4.6,-0.8,-14.5,0.5,"30,630",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Signal and track switch repairers    ,49-9097,6.6,6.5,0,-0.7,0.6,"76,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Skincare specialists    ,39-5094,78.6,91.6,13.1,16.6,10,"36,510",Postsecondary nondegree award,5,None,4,None,6
Slaughterers and meat packers    ,51-3023,75,77.5,2.5,3.3,8.3,"30,710",No formal educational credential,8,None,4,Short-term on-the-job training,5
Social and community service managers    ,11-9151,175.5,205.4,29.8,17,17.1,"69,600",Bachelor's degree,3,Less than 5 years,2,None,6
Social and human service assistants    ,21-1093,425.6,497.1,71.5,16.8,56.5,"35,960",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Social science research assistants    ,19-4061,40.1,42.4,2.3,5.8,4.8,"49,210",Bachelor's degree,3,None,4,None,6
"Social sciences teachers, postsecondary, all other    ",25-1069,19.3,19.2,-0.1,-0.3,1.4,"69,340",Doctoral or professional degree,1,None,4,None,6
"Social scientists and related workers, all other    ",19-3099,38.8,39.1,0.3,0.8,3.6,"87,260",Bachelor's degree,3,None,4,None,6
"Social work teachers, postsecondary    ",25-1113,17.3,18.3,1,5.7,1.4,"71,570",Doctoral or professional degree,1,None,4,None,6
"Social workers, all other    ",21-1029,62.5,65.6,3.2,5.1,5.8,"64,210",Bachelor's degree,3,None,4,None,6
Sociologists    ,19-3041,3.2,3.3,0.1,3.6,0.3,"86,110",Master's degree,2,None,4,None,6
"Sociology teachers, postsecondary    ",25-1067,17,17.6,0.6,3.8,1.3,"75,610",Doctoral or professional degree,1,None,4,None,6
Software developers and software quality assurance analysts and testers,15-1256,"1,469.20","1,785.20",316,21.5,131.4,"110,140",Bachelor's degree,3,None,4,None,6
Soil and plant scientists    ,19-1013,17.8,19,1.2,6.8,1.9,"66,120",Bachelor's degree,3,None,4,None,6
Solar photovoltaic installers    ,47-2231,12,18.1,6.1,50.5,2.3,"46,470",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Sound engineering technicians    ,27-4014,15.8,16.7,1,6,1.7,"53,520",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Special education teachers, all other    ",25-2059,36.6,39.7,3.1,8.5,2.9,"62,820",Bachelor's degree,3,None,4,None,6
"Special education teachers, kindergarten and elementary school    ",25-2052,193,198.6,5.6,2.9,13.9,"60,620",Bachelor's degree,3,None,4,None,6
"Special education teachers, middle school",25-2057,84.7,86.9,2.2,2.6,6.1,"61,820",Bachelor's degree,3,None,4,None,6
"Special education teachers, preschool    ",25-2051,23,24.9,1.9,8.3,1.8,"61,400",Bachelor's degree,3,None,4,None,6
"Special education teachers, secondary school",25-2058,143,147.6,4.6,3.2,10.3,"62,320",Bachelor's degree,3,None,4,None,6
Special effects artists and animators    ,27-1014,67.5,70.3,2.8,4.1,6.9,"77,700",Bachelor's degree,3,None,4,None,6
Speech-language pathologists    ,29-1127,162.6,203.1,40.5,24.9,13.7,"80,480",Master's degree,2,None,4,Internship/residency,1
Stationary engineers and boiler operators    ,51-8021,34.4,35.1,0.8,2.2,3.5,"64,680",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Statistical assistants    ,43-9111,10.8,11.5,0.7,6.4,1.3,"50,360",Bachelor's degree,3,None,4,None,6
Statisticians    ,15-2041,42.7,57.5,14.8,34.6,4.9,"92,270",Master's degree,2,None,4,None,6
Stockers and order fillers,53-7065,"2,135.80","2,151.30",15.5,0.7,254.9,"29,190",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Stonemasons    ,47-2022,16.8,16.3,-0.5,-3.2,1.4,"43,650",High school diploma or equivalent,7,None,4,Apprenticeship,2
Structural iron and steel workers    ,47-2221,77,80.6,3.6,4.7,8.1,"54,830",High school diploma or equivalent,7,None,4,Apprenticeship,2
Structural metal fabricators and fitters    ,51-2041,78.5,66,-12.5,-16,5.6,"41,780",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,319.4,398.4,79,24.7,39.4,"47,660",Bachelor's degree,3,None,4,None,6
"Substitute teachers, short-term",25-3031,619.4,635.3,15.9,2.6,67.3,"29,370",Bachelor's degree,3,None,4,None,6
Subway and streetcar operators    ,53-4041,10.7,11.3,0.6,5.3,1.1,"69,440",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Surgeons, except ophthalmologists",29-1248,39.6,38.8,-0.9,-2.2,1,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Surgical technologists    ,29-2055,111.3,118.9,7.6,6.8,9.3,"49,710",Postsecondary nondegree award,5,None,4,None,6
Survey researchers    ,19-3022,12.2,11.7,-0.4,-3.7,1.1,"59,870",Master's degree,2,None,4,None,6
Surveying and mapping technicians    ,17-3031,58.4,58.8,0.4,0.7,6.4,"46,200",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Surveyors    ,17-1022,48,48.7,0.8,1.6,3.6,"65,590",Bachelor's degree,3,None,4,Internship/residency,1
"Switchboard operators, including answering service    ",43-2011,69.9,54.1,-15.7,-22.5,4.7,"31,430",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Tailors, dressmakers, and custom sewers    ",51-6052,37.3,35.7,-1.6,-4.3,4.3,"32,640",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Tank car, truck, and ship loaders    ",53-7121,12.2,12,-0.2,-1.7,1.3,"45,610",No formal educational credential,8,None,4,Short-term on-the-job training,5
Tapers    ,47-2082,21.8,21,-0.9,-4,1.6,"59,450",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Tax examiners and collectors, and revenue agents    ",13-2081,57.6,55.3,-2.4,-4.1,4.2,"55,640",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Tax preparers    ,13-2082,88.4,87.9,-0.6,-0.6,9.1,"44,300",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Teaching assistants, except postsecondary",25-9045,"1,395.90","1,446.40",50.5,3.6,140.4,"28,900","Some college, no degree",6,None,4,None,6
"Teaching assistants, postsecondary",25-9044,169.6,175.4,5.8,3.4,13.4,"36,250",Bachelor's degree,3,None,4,None,6
Technical writers    ,27-3042,58.4,62.7,4.3,7.4,5.7,"74,650",Bachelor's degree,3,Less than 5 years,2,Short-term on-the-job training,5
"Telecommunications equipment installers and repairers, except line installers    ",49-2022,215.7,210.1,-5.6,-2.6,20.9,"61,470",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Telecommunications line installers and repairers    ,49-9052,123.6,121.6,-2,-1.6,11.8,"58,870",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Telemarketers    ,41-9041,136.9,117.5,-19.4,-14.2,15.5,"27,920",No formal educational credential,8,None,4,Short-term on-the-job training,5
Telephone operators    ,43-2021,5,3.6,-1.4,-27.9,0.4,"37,710",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Tellers    ,43-3071,449,380.4,-68.6,-15.3,36.7,"32,620",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Terrazzo workers and finishers    ,47-2053,3,2.7,-0.3,-10.3,0.2,"51,430",High school diploma or equivalent,7,None,4,Apprenticeship,2
Textile bleaching and dyeing machine operators and tenders    ,51-6061,9,7.9,-1.1,-11.9,0.9,"30,260",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile cutting machine setters, operators, and tenders    ",51-6062,13.1,11.8,-1.4,-10.5,0.9,"29,910",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Textile knitting and weaving machine setters, operators, and tenders    ",51-6063,24.8,21.6,-3.2,-12.8,2.4,"31,090",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile winding, twisting, and drawing out machine setters, operators, and tenders    ",51-6064,31,28,-3,-9.7,2.2,"30,890",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Textile, apparel, and furnishings workers, all other    ",51-6099,18.7,17.8,-0.9,-4.9,2,"28,650",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Therapists, all other    ",29-1129,32.6,37.4,4.8,14.6,2.4,"57,310",Bachelor's degree,3,None,4,None,6
Tile and stone setters    ,47-2044,57,61.9,4.9,8.6,5.4,"44,220",No formal educational credential,8,None,4,Long-term on-the-job training,3
Timing device assemblers and adjusters,51-2061,1.3,1,-0.3,-22.3,0.1,"36,170",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tire builders    ,51-9197,21,21.1,0.1,0.5,1.9,"46,270",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tire repairers and changers    ,49-3093,113.4,116,2.6,2.3,12,"30,060",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Title examiners, abstractors, and searchers    ",23-2093,63.6,61.9,-1.6,-2.6,4.8,"48,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tool and die makers    ,51-4111,72.5,68.6,-3.9,-5.4,6,"54,760",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
"Tool grinders, filers, and sharpeners    ",51-4194,7.1,6.8,-0.3,-4.8,0.8,"41,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tour and travel guides,39-7010,57.3,60.5,3.1,5.4,9.6,"29,460",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Traffic technicians    ,53-6041,7.7,8.2,0.5,6,0.8,"47,800",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Training and development managers    ,11-3131,42.3,45.4,3.1,7.3,3.7,"115,640",Bachelor's degree,3,5 years or more,1,None,6
Training and development specialists    ,13-1151,327.9,356.1,28.2,8.6,33.7,"62,700",Bachelor's degree,3,Less than 5 years,2,None,6
Transit and railroad police    ,33-3052,4.5,4.7,0.2,4,0.3,"72,580",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Transportation inspectors    ,53-6051,30.2,30.9,0.7,2.4,2.9,"78,400",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Transportation security screeners    ,33-9093,51.4,49.8,-1.6,-3.1,4.3,"44,300",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Transportation, storage, and distribution managers    ",11-3071,139.4,144.3,4.9,3.5,10,"96,390",High school diploma or equivalent,7,5 years or more,1,None,6
Travel agents    ,41-3041,82,60.8,-21.3,-25.9,5.7,"42,350",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tree trimmers and pruners    ,37-3013,62,68.6,6.6,10.7,8.3,"41,340",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Tutors and teachers and instructors, all other",25-3097,406.2,436.4,30.2,7.4,47.2,"40,590",Bachelor's degree,3,None,4,None,6
"Umpires, referees, and other sports officials    ",27-2023,22.8,24.6,1.8,8,3.4,"28,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Underground mining machine operators and extraction workers, all other",47-5098,14.1,15.4,1.3,9.3,1.8,"52,400",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Upholsterers    ,51-6093,35.2,33.9,-1.4,-4,2.5,"36,250",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Urban and regional planners    ,19-3051,39.7,44.1,4.4,11,3.7,"75,950",Master's degree,2,None,4,None,6
"Ushers, lobby attendants, and ticket takers    ",39-3031,139,143.7,4.7,3.3,31.9,"25,110",No formal educational credential,8,None,4,Short-term on-the-job training,5
Veterinarians    ,29-1131,89.2,103.4,14.2,15.9,4.5,"99,250",Doctoral or professional degree,1,None,4,None,6
Veterinary assistants and laboratory animal caretakers    ,31-9096,99.5,115.2,15.7,15.8,16.9,"29,930",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Veterinary technologists and technicians    ,29-2056,112.9,131.2,18.3,16.2,10.9,"36,260",Associate's degree,4,None,4,None,6
Waiters and waitresses    ,35-3031,"2,613.80","2,711.40",97.6,3.7,475.7,"23,740",No formal educational credential,8,None,4,Short-term on-the-job training,5
Watch and clock repairers    ,49-9064,3.2,2.1,-1,-32.3,0.1,"45,290",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Water and wastewater treatment plant and system operators    ,51-8031,126.4,121,-5.4,-4.2,9.2,"49,090",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Web developers and digital interface designers,15-1257,174.3,188.3,14,8,13.4,"77,200",Associate's degree,4,None,4,None,6
"Weighers, measurers, checkers, and samplers, recordkeeping    ",43-5111,61.3,64.5,3.1,5.1,6.4,"36,650",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Welders, cutters, solderers, and brazers    ",51-4121,438.9,452.5,13.6,3.1,43.4,"44,190",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Welding, soldering, and brazing machine setters, operators, and tenders    ",51-4122,37.2,34.7,-2.5,-6.8,3.1,"39,410",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Wellhead pumpers    ,53-7073,14.1,14.7,0.6,4.2,1.5,"60,720",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Wind turbine service technicians    ,49-9081,7,11.3,4.3,60.7,1.3,"56,230",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
